Skills,Interest,Personality,Education_Level,Recommended_Career
Machine Learning; Python,Machine Learning,Creative,Diploma,Data Scientist
Python; Data Analysis,Web Development,Logical,UG,Data Scientist
Git; GitHub,Web Development,Analytical,PG,Software Engineer
React Native; JavaScript,Machine Learning,Creative,UG,Mobile App Developer
Python; OOP,App Development,Logical,Diploma,Software Engineer
GCP; Cloud Architecture,Designing,Creative,Diploma,Cloud Engineer
CI/CD; Jenkins,DevOps,Analytical,UG,DevOps Engineer
Deep Learning; Python,Data Analysis,Social,PG,ML Engineer
SEO; Content Writing,Marketing,Analytical,Diploma,Digital Marketer
Android; Kotlin,Marketing,Analytical,UG,Android Developer
HTML; CSS; JavaScript,Data Analysis,Social,UG,Web Developer
Deep Learning; Python,Web Development,Creative,PG,ML Engineer
HTML; CSS; JavaScript,Mobile Development,Analytical,Diploma,Web Developer
Photoshop; Illustrator,Web Development,Social,UG,UI/UX Designer
PyTorch; Neural Networks,Data Analysis,Social,PG,ML Engineer
Android; Flutter,Designing,Creative,Diploma,Mobile App Developer
MERN Stack,Data Analysis,Analytical,Diploma,Web Developer
Android Studio; Kotlin,Programming,Logical,PG,Android Developer
Flutter; Dart,Marketing,Logical,PG,Mobile App Developer
C++; DSA,Programming,Analytical,PG,Software Engineer
Flutter; Dart,Web Development,Analytical,UG,Mobile App Developer
Android Studio; Kotlin,DevOps,Social,PG,Android Developer
Android; Kotlin,Cloud Computing,Creative,UG,Android Developer
AWS; Cloud,Machine Learning,Analytical,PG,Cloud Engineer
PyTorch; Neural Networks,Mobile Development,Social,UG,ML Engineer
Figma; Prototyping,Marketing,Logical,PG,UI/UX Designer
Android; Flutter,Data Analysis,Creative,PG,Mobile App Developer
Azure; Cloud Security,Programming,Creative,PG,Cloud Engineer
Java; Spring,Programming,Logical,UG,Software Engineer
Android; Flutter,Programming,Analytical,PG,Mobile App Developer
Linux; Bash; DevOps,Web Development,Analytical,Diploma,DevOps Engineer
MERN Stack,Data Analysis,Analytical,UG,Web Developer
Wireframing; User Research,Machine Learning,Social,UG,UI/UX Designer
Figma; Prototyping,Cloud Computing,Analytical,UG,UI/UX Designer
MERN Stack,Cloud Computing,Social,Diploma,Web Developer
Python; OOP,DevOps,Creative,PG,Software Engineer
Git; GitHub,Cloud Computing,Creative,UG,Software Engineer
Python; Pandas; NumPy,Marketing,Analytical,UG,Data Scientist
Deep Learning; Python,Designing,Analytical,UG,ML Engineer
MERN Stack,App Development,Logical,UG,Web Developer
Android; Flutter,Web Development,Creative,Diploma,Mobile App Developer
NextJS; JavaScript,DevOps,Analytical,Diploma,Web Developer
CI/CD; Jenkins,Designing,Logical,Diploma,DevOps Engineer
PyTorch; Neural Networks,DevOps,Social,PG,ML Engineer
React Native; JavaScript,Designing,Logical,Diploma,Mobile App Developer
Social Media Marketing,Data Analysis,Creative,Diploma,Digital Marketer
Python; Pandas; NumPy,Data Analysis,Logical,UG,Data Scientist
Canva; UI Design,Mobile Development,Logical,UG,UI/UX Designer
Google Ads; Analytics,Designing,Creative,Diploma,Digital Marketer
React Native; JavaScript,Programming,Social,PG,Mobile App Developer
GCP; Cloud Architecture,Web Development,Analytical,UG,Cloud Engineer
Statistics; Python,Marketing,Social,Diploma,Data Scientist
Docker; Kubernetes,Mobile Development,Creative,PG,DevOps Engineer
Python; OOP,Marketing,Analytical,Diploma,Software Engineer
React Native; JavaScript,Designing,Analytical,PG,Mobile App Developer
Machine Learning; Python,Mobile Development,Analytical,PG,Data Scientist
Android Studio; Kotlin,DevOps,Social,UG,Android Developer
Android; Kotlin,Data Analysis,Logical,UG,Android Developer
PyTorch; Neural Networks,Mobile Development,Creative,UG,ML Engineer
Android Studio; Kotlin,Cloud Computing,Social,Diploma,Android Developer
Docker; Kubernetes,Programming,Analytical,UG,DevOps Engineer
CI/CD; Jenkins,Designing,Social,Diploma,DevOps Engineer
Deep Learning; Python,Data Analysis,Analytical,Diploma,ML Engineer
Android; Flutter,Web Development,Logical,Diploma,Mobile App Developer
CI/CD; Jenkins,Cloud Computing,Social,PG,DevOps Engineer
Google Ads; Analytics,Marketing,Analytical,UG,Digital Marketer
Python; Pandas; NumPy,Data Analysis,Logical,Diploma,Data Scientist
Statistics; Python,Programming,Social,PG,Data Scientist
Social Media Marketing,Programming,Logical,UG,Digital Marketer
Docker; Kubernetes,App Development,Creative,Diploma,DevOps Engineer
React; NodeJS,Marketing,Creative,PG,Web Developer
Android; Kotlin,Machine Learning,Logical,UG,Android Developer
Python; OOP,Designing,Social,Diploma,Software Engineer
HTML; CSS; JavaScript,Mobile Development,Creative,Diploma,Web Developer
Statistics; Python,App Development,Creative,PG,Data Scientist
Deep Learning; Python,Web Development,Creative,UG,ML Engineer
Canva; UI Design,Web Development,Analytical,PG,UI/UX Designer
Android; Flutter,App Development,Logical,UG,Mobile App Developer
Python; ML Algorithms,DevOps,Social,Diploma,ML Engineer
React; NodeJS,Mobile Development,Logical,Diploma,Web Developer
CI/CD; Jenkins,Mobile Development,Social,Diploma,DevOps Engineer
SEO; Content Writing,DevOps,Logical,UG,Digital Marketer
Deep Learning; Python,Web Development,Logical,PG,ML Engineer
Social Media Marketing,App Development,Social,UG,Digital Marketer
Android; Flutter,Mobile Development,Logical,UG,Mobile App Developer
CI/CD; Jenkins,App Development,Social,Diploma,DevOps Engineer
Java; Spring,Marketing,Analytical,PG,Software Engineer
Linux; Bash; DevOps,DevOps,Creative,PG,DevOps Engineer
Python; Pandas; NumPy,Web Development,Creative,PG,Data Scientist
Machine Learning; Python,Programming,Creative,Diploma,Data Scientist
Wireframing; User Research,Designing,Logical,Diploma,UI/UX Designer
SEO; Content Writing,Machine Learning,Creative,Diploma,Digital Marketer
Figma; Prototyping,App Development,Social,UG,UI/UX Designer
Git; GitHub,Programming,Creative,Diploma,Software Engineer
Python; Data Analysis,Web Development,Creative,Diploma,Data Scientist
Python; SQL; PowerBI,Machine Learning,Social,PG,Data Scientist
Python; Pandas; NumPy,App Development,Logical,Diploma,Data Scientist
Flutter; Dart,Cloud Computing,Logical,PG,Mobile App Developer
Linux; Bash; DevOps,Web Development,Creative,Diploma,DevOps Engineer
PyTorch; Neural Networks,Mobile Development,Social,UG,ML Engineer
Google Ads; Analytics,Mobile Development,Logical,UG,Digital Marketer
GCP; Cloud Architecture,DevOps,Creative,UG,Cloud Engineer
Email Marketing; Branding,App Development,Analytical,PG,Digital Marketer
Statistics; Python,Web Development,Creative,Diploma,Data Scientist
Figma; Prototyping,Data Analysis,Social,UG,UI/UX Designer
Git; GitHub,DevOps,Analytical,UG,Software Engineer
Android Studio; Kotlin,Programming,Analytical,PG,Android Developer
HTML; CSS; JavaScript,Marketing,Logical,PG,Web Developer
Python; Data Analysis,Designing,Social,PG,Data Scientist
React Native; JavaScript,Programming,Analytical,UG,Mobile App Developer
Linux; Bash; DevOps,App Development,Logical,PG,DevOps Engineer
Canva; UI Design,Cloud Computing,Logical,Diploma,UI/UX Designer
MERN Stack,Marketing,Logical,PG,Web Developer
AWS; Cloud,App Development,Social,Diploma,Cloud Engineer
Google Ads; Analytics,Web Development,Logical,UG,Digital Marketer
Java; Spring,Cloud Computing,Creative,Diploma,Software Engineer
MERN Stack,Designing,Creative,Diploma,Web Developer
HTML; CSS; JavaScript,Machine Learning,Social,UG,Web Developer
NextJS; JavaScript,Marketing,Creative,Diploma,Web Developer
Email Marketing; Branding,Programming,Logical,PG,Digital Marketer
Google Ads; Analytics,Designing,Creative,PG,Digital Marketer
Python; OOP,Web Development,Logical,Diploma,Software Engineer
Social Media Marketing,App Development,Analytical,PG,Digital Marketer
Email Marketing; Branding,DevOps,Creative,Diploma,Digital Marketer
SEO; Content Writing,Machine Learning,Creative,Diploma,Digital Marketer
Android Studio; Kotlin,DevOps,Social,UG,Android Developer
Email Marketing; Branding,App Development,Social,PG,Digital Marketer
Android; Flutter,App Development,Social,Diploma,Mobile App Developer
Wireframing; User Research,Programming,Creative,Diploma,UI/UX Designer
PyTorch; Neural Networks,Marketing,Logical,PG,ML Engineer
Canva; UI Design,Data Analysis,Social,Diploma,UI/UX Designer
Python; ML Algorithms,Marketing,Social,PG,ML Engineer
Python; SQL; PowerBI,Cloud Computing,Analytical,PG,Data Scientist
HTML; CSS; JavaScript,Designing,Logical,UG,Web Developer
React; NodeJS,Machine Learning,Social,UG,Web Developer
Android Studio; Kotlin,Cloud Computing,Analytical,Diploma,Android Developer
React Native; JavaScript,App Development,Social,PG,Mobile App Developer
Python; ML Algorithms,Web Development,Analytical,Diploma,ML Engineer
Azure; Cloud Security,Mobile Development,Analytical,Diploma,Cloud Engineer
MERN Stack,Marketing,Analytical,UG,Web Developer
Android; Kotlin,Programming,Logical,Diploma,Android Developer
Azure; Cloud Security,Designing,Social,PG,Cloud Engineer
Java; Android,Data Analysis,Analytical,PG,Android Developer
MERN Stack,Machine Learning,Analytical,Diploma,Web Developer
CI/CD; Jenkins,Designing,Social,Diploma,DevOps Engineer
Python; Data Analysis,Mobile Development,Creative,UG,Data Scientist
Docker; Kubernetes,Web Development,Analytical,PG,DevOps Engineer
Android; Flutter,Cloud Computing,Social,UG,Mobile App Developer
Deep Learning; Python,Programming,Social,PG,ML Engineer
Android; Flutter,Mobile Development,Creative,PG,Mobile App Developer
SEO; Content Writing,Cloud Computing,Logical,Diploma,Digital Marketer
Azure; Cloud Security,Mobile Development,Creative,PG,Cloud Engineer
Android Studio; Kotlin,Cloud Computing,Analytical,PG,Android Developer
Python; OOP,Marketing,Creative,PG,Software Engineer
Canva; UI Design,Web Development,Logical,Diploma,UI/UX Designer
Linux; Bash; DevOps,App Development,Analytical,UG,DevOps Engineer
Deep Learning; Python,Machine Learning,Analytical,UG,ML Engineer
Android Studio; Kotlin,Marketing,Creative,Diploma,Android Developer
React Native; JavaScript,Web Development,Social,Diploma,Mobile App Developer
NextJS; JavaScript,Data Analysis,Creative,PG,Web Developer
NextJS; JavaScript,Marketing,Logical,PG,Web Developer
Android Studio; Kotlin,Marketing,Logical,PG,Android Developer
Android; Flutter,Web Development,Logical,UG,Mobile App Developer
React Native; JavaScript,Designing,Logical,Diploma,Mobile App Developer
Canva; UI Design,Mobile Development,Creative,Diploma,UI/UX Designer
Canva; UI Design,Mobile Development,Creative,PG,UI/UX Designer
Social Media Marketing,App Development,Social,UG,Digital Marketer
Statistics; Python,Designing,Analytical,UG,Data Scientist
HTML; CSS; JavaScript,Machine Learning,Analytical,UG,Web Developer
React; NodeJS,Designing,Logical,UG,Web Developer
Android; Kotlin,Data Analysis,Logical,PG,Android Developer
AWS; Cloud,Mobile Development,Social,Diploma,Cloud Engineer
Social Media Marketing,Programming,Social,PG,Digital Marketer
Deep Learning; Python,Mobile Development,Analytical,Diploma,ML Engineer
GCP; Cloud Architecture,Cloud Computing,Social,UG,Cloud Engineer
Android; Flutter,Designing,Logical,PG,Mobile App Developer
Deep Learning; Python,Mobile Development,Logical,UG,ML Engineer
HTML; CSS; JavaScript,Programming,Social,Diploma,Web Developer
C++; DSA,Machine Learning,Logical,Diploma,Software Engineer
Canva; UI Design,Web Development,Creative,UG,UI/UX Designer
Android Studio; Kotlin,Mobile Development,Logical,PG,Android Developer
MERN Stack,DevOps,Social,Diploma,Web Developer
Statistics; Python,Programming,Analytical,Diploma,Data Scientist
HTML; CSS; JavaScript,App Development,Analytical,PG,Web Developer
Linux; Bash; DevOps,Cloud Computing,Analytical,UG,DevOps Engineer
Wireframing; User Research,DevOps,Logical,PG,UI/UX Designer
Python; Pandas; NumPy,Marketing,Logical,UG,Data Scientist
Figma; Prototyping,Web Development,Creative,UG,UI/UX Designer
Figma; Prototyping,Designing,Analytical,UG,UI/UX Designer
Android; Flutter,Programming,Social,Diploma,Mobile App Developer
NextJS; JavaScript,Mobile Development,Analytical,Diploma,Web Developer
Java; Spring,Machine Learning,Creative,PG,Software Engineer
React Native; JavaScript,Cloud Computing,Logical,PG,Mobile App Developer
Statistics; Python,Machine Learning,Logical,PG,Data Scientist
Docker; Kubernetes,Designing,Social,UG,DevOps Engineer
React; NodeJS,DevOps,Creative,PG,Web Developer
Google Ads; Analytics,DevOps,Creative,Diploma,Digital Marketer
Python; SQL; PowerBI,Designing,Social,UG,Data Scientist
React; NodeJS,Designing,Creative,UG,Web Developer
C++; DSA,DevOps,Creative,UG,Software Engineer
HTML; CSS; JavaScript,Data Analysis,Creative,PG,Web Developer
Social Media Marketing,Marketing,Social,Diploma,Digital Marketer
Docker; Kubernetes,Cloud Computing,Logical,UG,DevOps Engineer
Flutter; Dart,Mobile Development,Analytical,UG,Mobile App Developer
NextJS; JavaScript,Cloud Computing,Creative,Diploma,Web Developer
Wireframing; User Research,Web Development,Analytical,UG,UI/UX Designer
Python; OOP,Machine Learning,Creative,UG,Software Engineer
Python; ML Algorithms,Web Development,Creative,UG,ML Engineer
Deep Learning; Python,Mobile Development,Analytical,PG,ML Engineer
Python; SQL; PowerBI,DevOps,Analytical,UG,Data Scientist
Figma; Prototyping,Machine Learning,Social,Diploma,UI/UX Designer
Python; ML Algorithms,Designing,Creative,PG,ML Engineer
TensorFlow; Python,Machine Learning,Creative,Diploma,ML Engineer
MERN Stack,Machine Learning,Social,Diploma,Web Developer
C++; DSA,Designing,Analytical,PG,Software Engineer
CI/CD; Jenkins,Programming,Social,Diploma,DevOps Engineer
NextJS; JavaScript,Designing,Analytical,UG,Web Developer
Python; ML Algorithms,Mobile Development,Logical,PG,ML Engineer
Python; ML Algorithms,App Development,Analytical,PG,ML Engineer
Wireframing; User Research,Machine Learning,Logical,Diploma,UI/UX Designer
PyTorch; Neural Networks,Mobile Development,Analytical,Diploma,ML Engineer
Figma; Prototyping,Web Development,Analytical,Diploma,UI/UX Designer
Statistics; Python,Marketing,Creative,UG,Data Scientist
HTML; CSS; JavaScript,Data Analysis,Analytical,PG,Web Developer
C++; DSA,DevOps,Creative,Diploma,Software Engineer
Python; ML Algorithms,Designing,Logical,UG,ML Engineer
Android; Flutter,Web Development,Creative,Diploma,Mobile App Developer
Wireframing; User Research,DevOps,Social,PG,UI/UX Designer
Linux; Bash; DevOps,App Development,Social,UG,DevOps Engineer
PyTorch; Neural Networks,Web Development,Creative,UG,ML Engineer
Python; ML Algorithms,Mobile Development,Logical,Diploma,ML Engineer
Git; GitHub,Machine Learning,Social,Diploma,Software Engineer
Machine Learning; Python,App Development,Creative,UG,Data Scientist
NextJS; JavaScript,Data Analysis,Logical,PG,Web Developer
Python; ML Algorithms,Machine Learning,Analytical,Diploma,ML Engineer
C++; DSA,Data Analysis,Analytical,Diploma,Software Engineer
Statistics; Python,Marketing,Logical,PG,Data Scientist
C++; DSA,DevOps,Social,PG,Software Engineer
C++; DSA,App Development,Analytical,PG,Software Engineer
Android Studio; Kotlin,Programming,Social,PG,Android Developer
SEO; Content Writing,Marketing,Logical,UG,Digital Marketer
Android; Kotlin,Machine Learning,Logical,PG,Android Developer
Python; Pandas; NumPy,DevOps,Logical,PG,Data Scientist
Java; Android,Data Analysis,Creative,Diploma,Android Developer
Java; Android,Marketing,Logical,Diploma,Android Developer
Azure; Cloud Security,DevOps,Logical,PG,Cloud Engineer
Android; Kotlin,Designing,Social,PG,Android Developer
Android Studio; Kotlin,Designing,Creative,Diploma,Android Developer
AWS; Cloud,Cloud Computing,Creative,UG,Cloud Engineer
Figma; Prototyping,Machine Learning,Logical,Diploma,UI/UX Designer
PyTorch; Neural Networks,App Development,Social,UG,ML Engineer
MERN Stack,Machine Learning,Social,PG,Web Developer
Social Media Marketing,Data Analysis,Analytical,PG,Digital Marketer
Wireframing; User Research,Marketing,Creative,Diploma,UI/UX Designer
Python; OOP,Web Development,Creative,UG,Software Engineer
React Native; JavaScript,Programming,Analytical,Diploma,Mobile App Developer
Machine Learning; Python,Marketing,Social,PG,Data Scientist
Google Ads; Analytics,Marketing,Social,UG,Digital Marketer
CI/CD; Jenkins,Programming,Logical,Diploma,DevOps Engineer
Python; OOP,DevOps,Logical,PG,Software Engineer
Python; Data Analysis,DevOps,Creative,Diploma,Data Scientist
Photoshop; Illustrator,Web Development,Social,PG,UI/UX Designer
Email Marketing; Branding,Web Development,Social,UG,Digital Marketer
Flutter; Dart,Data Analysis,Creative,Diploma,Mobile App Developer
Docker; Kubernetes,Web Development,Logical,Diploma,DevOps Engineer
Python; Data Analysis,Programming,Creative,Diploma,Data Scientist
MERN Stack,DevOps,Social,PG,Web Developer
NextJS; JavaScript,Mobile Development,Logical,UG,Web Developer
Python; OOP,Designing,Logical,Diploma,Software Engineer
TensorFlow; Python,Machine Learning,Creative,Diploma,ML Engineer
Python; ML Algorithms,Designing,Logical,UG,ML Engineer
Canva; UI Design,Data Analysis,Social,UG,UI/UX Designer
Git; GitHub,DevOps,Social,PG,Software Engineer
Deep Learning; Python,Data Analysis,Analytical,PG,ML Engineer
Android; Kotlin,Cloud Computing,Analytical,UG,Android Developer
Deep Learning; Python,Web Development,Creative,UG,ML Engineer
HTML; CSS; JavaScript,Data Analysis,Creative,PG,Web Developer
Android; Flutter,Programming,Social,UG,Mobile App Developer
Azure; Cloud Security,DevOps,Analytical,UG,Cloud Engineer
Android Studio; Kotlin,DevOps,Logical,PG,Android Developer
TensorFlow; Python,Programming,Logical,PG,ML Engineer
SEO; Content Writing,DevOps,Creative,UG,Digital Marketer
Android; Flutter,Marketing,Analytical,UG,Mobile App Developer
Python; Data Analysis,Web Development,Analytical,Diploma,Data Scientist
Android; Flutter,Cloud Computing,Social,UG,Mobile App Developer
React; NodeJS,DevOps,Analytical,UG,Web Developer
CI/CD; Jenkins,Web Development,Social,PG,DevOps Engineer
Android Studio; Kotlin,Mobile Development,Creative,UG,Android Developer
Python; Pandas; NumPy,Web Development,Logical,PG,Data Scientist
SEO; Content Writing,DevOps,Creative,Diploma,Digital Marketer
Android; Flutter,Cloud Computing,Social,UG,Mobile App Developer
Python; SQL; PowerBI,Programming,Creative,UG,Data Scientist
Deep Learning; Python,App Development,Logical,PG,ML Engineer
HTML; CSS; JavaScript,Web Development,Social,UG,Web Developer
NextJS; JavaScript,Marketing,Creative,Diploma,Web Developer
Photoshop; Illustrator,Marketing,Logical,PG,UI/UX Designer
C++; DSA,App Development,Analytical,PG,Software Engineer
AWS; Cloud,Cloud Computing,Creative,UG,Cloud Engineer
TensorFlow; Python,Mobile Development,Analytical,PG,ML Engineer
Statistics; Python,App Development,Creative,PG,Data Scientist
Email Marketing; Branding,Programming,Logical,PG,Digital Marketer
Photoshop; Illustrator,Designing,Creative,Diploma,UI/UX Designer
Flutter; Dart,Designing,Analytical,Diploma,Mobile App Developer
GCP; Cloud Architecture,Data Analysis,Analytical,PG,Cloud Engineer
C++; DSA,Designing,Creative,Diploma,Software Engineer
Google Ads; Analytics,Machine Learning,Logical,PG,Digital Marketer
Figma; Prototyping,Machine Learning,Logical,Diploma,UI/UX Designer
Email Marketing; Branding,Web Development,Analytical,PG,Digital Marketer
Social Media Marketing,DevOps,Analytical,Diploma,Digital Marketer
Azure; Cloud Security,Web Development,Logical,PG,Cloud Engineer
Social Media Marketing,Mobile Development,Creative,UG,Digital Marketer
Android; Kotlin,App Development,Social,Diploma,Android Developer
TensorFlow; Python,Marketing,Creative,Diploma,ML Engineer
Email Marketing; Branding,App Development,Logical,PG,Digital Marketer
Git; GitHub,Machine Learning,Analytical,Diploma,Software Engineer
Java; Spring,Machine Learning,Analytical,PG,Software Engineer
C++; DSA,Designing,Creative,PG,Software Engineer
Flutter; Dart,Data Analysis,Creative,Diploma,Mobile App Developer
NextJS; JavaScript,App Development,Logical,PG,Web Developer
Java; Spring,Cloud Computing,Logical,PG,Software Engineer
Flutter; Dart,App Development,Social,UG,Mobile App Developer
Canva; UI Design,DevOps,Social,PG,UI/UX Designer
Canva; UI Design,Designing,Social,Diploma,UI/UX Designer
Java; Android,Designing,Creative,PG,Android Developer
React; NodeJS,Machine Learning,Logical,PG,Web Developer
C++; DSA,Web Development,Social,UG,Software Engineer
HTML; CSS; JavaScript,Machine Learning,Creative,UG,Web Developer
NextJS; JavaScript,DevOps,Creative,UG,Web Developer
Docker; Kubernetes,Data Analysis,Logical,Diploma,DevOps Engineer
NextJS; JavaScript,Cloud Computing,Creative,Diploma,Web Developer
PyTorch; Neural Networks,DevOps,Social,UG,ML Engineer
Social Media Marketing,Marketing,Analytical,UG,Digital Marketer
Android; Kotlin,Marketing,Logical,Diploma,Android Developer
Android; Kotlin,Marketing,Logical,Diploma,Android Developer
Flutter; Dart,Web Development,Analytical,UG,Mobile App Developer
Deep Learning; Python,Data Analysis,Analytical,Diploma,ML Engineer
React; NodeJS,Designing,Creative,Diploma,Web Developer
NextJS; JavaScript,DevOps,Analytical,UG,Web Developer
Git; GitHub,App Development,Analytical,PG,Software Engineer
Canva; UI Design,DevOps,Social,Diploma,UI/UX Designer
MERN Stack,Programming,Logical,UG,Web Developer
Azure; Cloud Security,Programming,Creative,PG,Cloud Engineer
GCP; Cloud Architecture,Cloud Computing,Social,Diploma,Cloud Engineer
Android; Flutter,Machine Learning,Analytical,Diploma,Mobile App Developer
Git; GitHub,Data Analysis,Logical,UG,Software Engineer
Photoshop; Illustrator,DevOps,Creative,UG,UI/UX Designer
SEO; Content Writing,Data Analysis,Social,Diploma,Digital Marketer
Android; Flutter,DevOps,Logical,PG,Mobile App Developer
C++; DSA,Designing,Social,Diploma,Software Engineer
Deep Learning; Python,Mobile Development,Creative,UG,ML Engineer
Java; Spring,App Development,Social,UG,Software Engineer
Python; OOP,Marketing,Creative,Diploma,Software Engineer
Deep Learning; Python,Marketing,Analytical,Diploma,ML Engineer
Google Ads; Analytics,Cloud Computing,Logical,UG,Digital Marketer
Android; Flutter,DevOps,Social,UG,Mobile App Developer
CI/CD; Jenkins,Designing,Social,PG,DevOps Engineer
Java; Spring,App Development,Logical,UG,Software Engineer
React; NodeJS,App Development,Analytical,UG,Web Developer
C++; DSA,DevOps,Creative,Diploma,Software Engineer
Social Media Marketing,Marketing,Social,Diploma,Digital Marketer
Java; Spring,Designing,Logical,UG,Software Engineer
C++; DSA,Mobile Development,Creative,Diploma,Software Engineer
Java; Spring,Marketing,Logical,Diploma,Software Engineer
Google Ads; Analytics,App Development,Logical,Diploma,Digital Marketer
HTML; CSS; JavaScript,Data Analysis,Creative,PG,Web Developer
GCP; Cloud Architecture,Cloud Computing,Logical,PG,Cloud Engineer
CI/CD; Jenkins,Machine Learning,Logical,UG,DevOps Engineer
Email Marketing; Branding,Programming,Logical,UG,Digital Marketer
Machine Learning; Python,Cloud Computing,Creative,PG,Data Scientist
Machine Learning; Python,Designing,Analytical,UG,Data Scientist
Social Media Marketing,Machine Learning,Analytical,PG,Digital Marketer
React; NodeJS,Web Development,Analytical,PG,Web Developer
SEO; Content Writing,Web Development,Social,PG,Digital Marketer
GCP; Cloud Architecture,Programming,Analytical,PG,Cloud Engineer
Python; Pandas; NumPy,Mobile Development,Creative,PG,Data Scientist
Canva; UI Design,App Development,Creative,UG,UI/UX Designer
C++; DSA,Cloud Computing,Social,Diploma,Software Engineer
Python; OOP,App Development,Social,Diploma,Software Engineer
Android Studio; Kotlin,Cloud Computing,Creative,UG,Android Developer
PyTorch; Neural Networks,Marketing,Logical,UG,ML Engineer
Machine Learning; Python,Cloud Computing,Analytical,UG,Data Scientist
Python; OOP,Mobile Development,Creative,PG,Software Engineer
Wireframing; User Research,Cloud Computing,Social,Diploma,UI/UX Designer
Python; SQL; PowerBI,Machine Learning,Creative,UG,Data Scientist
Android; Flutter,Marketing,Logical,PG,Mobile App Developer
Python; Data Analysis,Programming,Social,Diploma,Data Scientist
NextJS; JavaScript,Machine Learning,Analytical,Diploma,Web Developer
TensorFlow; Python,Machine Learning,Social,UG,ML Engineer
Android; Kotlin,Data Analysis,Logical,Diploma,Android Developer
CI/CD; Jenkins,Designing,Analytical,Diploma,DevOps Engineer
